L D C PC time OPT node_count obj_bound root_time root_bestobj root_bestbound root_gap
2293.74 245.78 1 0.5 1172.98 6346.5 3680 6346.5 16.3211 6252 6884.9 0.101232
2293.74 245.78 1 0.75 1171.43 7442 3163 7442 11.5863 7341.25 7813.63 0.0643455
2293.74 491.56 1 0.5 133.254 6764 3656 6764.2 6.01948 535 7173.03 12.4075
2293.74 491.56 1 0.75 254.149 7971.5 22876 7972.29 6.14807 6793.25 8476.74 0.247818
2293.74 983.12 1 0.5 318.019 6851 3620 6851 2.13554 324 7883.86 23.3329
2293.74 983.12 1 0.75 345.068 8097.5 3756 8097.5 2.32101 847 9287.18 9.9648
2293.74 245.78 2 0.5 1848.62 6907.5 36597 6907.5 24.3627 6386.5 7433 0.163861
2293.74 245.78 2 0.75 3220.39 8648.25 46037 8648.25 31.7018 8419.25 9356.06 0.11127
2293.74 491.56 2 0.5 232.527 8149.5 1539 8149.5 19.2717 7759.5 8263.83 0.0649952
2293.74 491.56 2 0.75 270.69 10171.8 1615 10171.8 8.89292 2748.25 10232.2 2.72318
2293.74 983.12 2 0.5 270.201 8276 1264 8276 2.09816 8175 9107.27 0.114039
2293.74 983.12 2 0.75 218.231 10235 734 10235 1.86502 10201 10650.6 0.0440775
2293.74 245.78 3 0.5 427.922 7138.5 9175 7138.5 10.399 6784.5 7475.64 0.10187
2293.74 245.78 3 0.75 >3600 (0.00281586) 18611 9241.2 18.4122 1039.5 9550.46 8.18755
2293.74 491.56 3 0.5 235.869 8159.5 2787 8159.5 7.21715 3480 8277.98 1.37873
2293.74 491.56 3 0.75 202.164 10176.8 3082 10176.8 7.27764 3055 10245.3 2.3536
2293.74 983.12 3 0.5 231.011 8276 1011 8276 1.70065 8360.5 9107.27 0.0893211
2293.74 983.12 3 0.75 152.998 10235 941 10235.6 2.28222 1381.5 10374.8 6.50981
2293.74 245.78 8 0.5 362.632 7241 3362 7241 8.67862 3401 7453.54 1.19157
2293.74 245.78 8 0.75 736.145 9330.75 4020 9330.75 36.4444 8537.25 9548.76 0.118482
2293.74 491.56 8 0.5 30.2425 8208 404 8208 6.48753 4602 8299.39 0.803431
2293.74 491.56 8 0.75 26.5923 10201 316 10201 6.98604 4611.5 10240 1.22054
2293.74 983.12 8 0.5 140.577 8276 676 8276 1.6631 8364.5 9107.27 0.0888001
2293.74 983.12 8 0.75 135.49 10235 889 10235 2.21321 3068.25 10379.9 2.38299
4587.48 245.78 1 0.5 895.294 9999.5 1372 9999.5 4.02031 10044.5 10503.7 0.0457132
4587.48 245.78 1 0.75 497.095 11096.8 1666 11096.9 3.76371 11130 11342.8 0.0191176
4587.48 491.56 1 0.5 478.521 10035.5 629 10035.5 11.8356 426.5 10115.9 22.7184
4587.48 491.56 1 0.75 270.983 11114.8 653 11114.8 19.7035 10959 11167.5 0.0190289
4587.48 983.12 1 0.5 71.6632 10035.5 333 10035.5 1.58897 8335 10679.9 0.281337
4587.48 983.12 1 0.75 134.917 11114.8 429 11115.6 1.93447 11027.2 11437 0.0371555
4587.48 245.78 2 0.5 235.517 9999.5 699 10000.1 5.42062 449 10251.9 21.8327
4587.48 245.78 2 0.75 223.761 11096.8 896 11096.9 3.56505 11111.2 11342.8 0.0208374
4587.48 491.56 2 0.5 617.121 10035.5 675 10035.5 15.6434 9270.5 10115.9 0.0911968
4587.48 491.56 2 0.75 36.9255 11114.8 150 11115.6 7.20402 6020 11181.7 0.857432
4587.48 983.12 2 0.5 135.647 10035.5 382 10035.5 1.85721 9805.5 10679.9 0.0891791
4587.48 983.12 2 0.75 151.087 11114.8 527 11115.8 4.0407 10964.5 11271.5 0.0280011
4587.48 245.78 3 0.5 189.458 9999.5 937 9999.5 4.4706 10051.5 10503.7 0.0449849
4587.48 245.78 3 0.75 641.362 11096.8 1279 11096.8 4.11873 11130 11342.8 0.0191176
4587.48 491.56 3 0.5 96.432 10035.5 385 10035.5 7.3537 4792.5 10182.3 1.12463
4587.48 491.56 3 0.75 60.1424 11114.8 284 11115.7 22.2003 10952.5 11156.4 0.0186169
4587.48 983.12 3 0.5 143.588 10035.5 421 10035.5 3.66411 9693.5 10356 0.0683455
4587.48 983.12 3 0.75 128.486 11114.8 683 11115 1.7108 1728.5 11437 5.6167
4587.48 245.78 8 0.5 334.248 9999.5 1886 9999.5 4.44569 10068.5 10503.7 0.0432205
4587.48 245.78 8 0.75 237.185 11096.8 709 11096.8 4.15092 6711.5 11342.8 0.690051
4587.48 491.56 8 0.5 66.1877 10035.5 279 10035.5 16.3339 9757.5 10143.5 0.0395631
4587.48 491.56 8 0.75 319.663 11114.8 668 11115.3 13.653 9952 11157.2 0.121103
4587.48 983.12 8 0.5 476.063 10035.5 471 10035.5 1.49619 1342 10679.9 6.95823
4587.48 983.12 8 0.75 149.073 11114.8 584 11115.8 1.53636 4290.25 11437 1.66581
6881.21 245.78 1 0.5 338.772 11366.5 1420 11366.5 4.93396 11392.5 11695.9 0.0266346
6881.21 245.78 1 0.75 529.688 11780.2 1688 11780.2 18.1224 11477 11851.9 0.0326667
6881.21 491.56 1 0.5 92.7262 11366.5 2013 11367.1 6.11676 11407.5 11730.2 0.0282853
6881.21 491.56 1 0.75 338.073 11780.2 1855 11780.2 5.1718 11799 11962.1 0.0138217
6881.21 983.12 1 0.5 426.188 11366.5 2219 11366.5 4.63646 10595.5 11508.2 0.0861372
6881.21 983.12 1 0.75 246.883 11780.2 2378 11780.2 1.59108 399 11963.4 28.9836
6881.21 245.78 2 0.5 186.715 11366.5 3288 11366.5 6.52727 4821 11509.5 1.38736
6881.21 245.78 2 0.75 665.321 11780.3 1718 11780.3 15.2329 11438.8 11851.6 0.0360889
6881.21 491.56 2 0.5 648.807 11366.5 1962 11367 24.1426 11297 11430.5 0.0118145
6881.21 491.56 2 0.75 355.788 11780.2 2439 11780.2 17.4585 11520 11864.5 0.0299072
6881.21 983.12 2 0.5 245.399 11366.5 1757 11366.5 14.6983 10421 11517 0.105173
6881.21 983.12 2 0.75 420.777 11780.2 1915 11780.2 1.84257 11616.8 11963.4 0.0298445
6881.21 245.78 3 0.5 286.65 11366.5 1315 11366.5 14.7138 10761.5 11509.8 0.0695377
6881.21 245.78 3 0.75 415.621 11780.2 1820 11780.2 15.186 11477.5 11851.9 0.0326217
6881.21 491.56 3 0.5 777.109 11366.5 1970 11366.5 83.0923 5176.5 11406.2 1.20347
6881.21 491.56 3 0.75 423.982 11780.2 2129 11781 15.8005 11619.2 11868.7 0.0214681
6881.21 983.12 3 0.5 129.503 11366.5 1233 11366.5 2.04211 11323.5 11732.9 0.0361542
6881.21 983.12 3 0.75 132.577 11780.2 1984 11781.2 3.57491 11517.5 11865.3 0.0301934
6881.21 245.78 8 0.5 197.136 11366.5 1892 11366.8 5.29432 11392.5 11695.9 0.0266346
6881.21 245.78 8 0.75 470.447 11780.3 2563 11781.2 17.1825 1021 11851.6 10.6078
6881.21 491.56 8 0.5 165.426 11366.5 1383 11366.5 5.86524 11186 11730.2 0.0486469
6881.21 491.56 8 0.75 618.422 11780.3 1597 11780.3 7.05048 5680 11872 1.09013
6881.21 983.12 8 0.5 102.907 11366.5 1867 11366.5 1.88811 10856.5 11732.9 0.0807251
6881.21 983.12 8 0.75 109.678 11780.2 2124 11780.4 1.66525 10730.8 11963.4 0.114875
