L,D,C,PC,time,OPT,node_count,obj_bound,root_time,root_bestobj,root_bestbound,root_gap,Biter,Bcuts,time_slave,Siter,Scuts,time_subtour,Sroot_iter,Srootfrac_cuts,time_sub_root,LP_time,LP_obj
353.93,16.74,3,0.5,2.68253,1885,1,1885,2.56054,1885,1885.27,0.000141108,16,2,0.0215762,16,310,0.054986,4,0,0.036902,1.35366,1899
353.93,16.74,3,0.75,3.66618,2060,1,2060.13,3.54415,2060,2060.5,0.000241084,17,2,0.0234778,17,269,0.070243,4,0,0.053173,2.17054,2064.25
353.93,33.47,3,0.5,3.91231,1885,1,1885.08,3.66657,1885,1885.27,0.000141108,14,0,0.0569277,14,473,0.10344,4,0,0.049125,2.05671,1916
353.93,33.47,3,0.75,5.83828,2060,1,2060.06,5.6279,2060,2060.77,0.000376019,18,0,0.070502,18,534,0.172084,3,0,0.047218,1.89005,2075.5
353.93,66.49,3,0.5,19.8613,1885,399,1885,1.15956,1748.5,1986.6,0.136173,283,0,1.3494,283,2201,0.19676,0,0,0,0.645905,1917.5
353.93,66.49,3,0.75,2.3574,2060,1,2060.07,2.28899,2060,2060.23,0.000111838,22,0,0.172077,22,606,0.10094,7,15,0.077625,0.808037,2076.25
353.93,16.74,8,0.5,3.09749,1884.93,3,1885.07,2.97095,1882.5,1885.11,0.00138872,38,0,0.0231669,38,591,0.060271,20,2,0.22608,1.44173,1899
353.93,16.74,8,0.75,5.10329,2060,1,2060.05,4.97312,2060,2060.05,2.51156E-05,33,0,0.0238483,33,471,0.144136,12,9,0.125904,2.69515,2064.25
353.93,33.47,8,0.5,4.61625,1885,1,1885,4.38929,1885,1885.2,0.000108708,16,0,0.0444524,16,508,0.125542,3,32,0.044012,1.83427,1916
353.93,33.47,8,0.75,4.33647,2060,1,2060.13,4.13356,2060,2060.58,0.00028113,12,0,0.039933,12,463,0.098125,2,3,0.021925,1.97937,2075.5
353.93,66.49,8,0.5,15.7009,1885,195,1885,1.3797,1696,1962.66,0.157229,137,0,0.591238,137,1700,0.198176,0,0,0,0.69948,1917.5
353.93,66.49,8,0.75,27.0936,2060,375,2060,1.21476,2048,2110.8,0.0306636,261,0,1.00974,261,2912,0.159739,0,0,0,0.756056,2076.25
530.9,16.74,1,0.5,11.4564,2117,231,2117,10.8016,2116.5,2118.26,0.000831776,184,2,0.105805,184,1054,0.447591,21,14,0.455522,1.53175,2132.5
530.9,16.74,1,0.75,13.1325,2176,315,2176.14,11.9267,2174.25,2176.66,0.00110749,229,2,0.128407,229,1255,0.464674,17,115,0.385706,1.56552,2183.75
530.9,33.47,1,0.5,26.0095,2117,526,2117.21,13.1481,1653,2120.16,0.282612,363,0,0.752696,363,1964,0.757189,3,132,0.061906,1.33777,2135.5
530.9,33.47,1,0.75,38.0523,2176,466,2176.12,24.4308,2036,2177.77,0.0696301,328,0,0.682758,328,1720,0.954665,1,0,0.024013,1.39032,2185.25
530.9,66.49,1,0.5,287.36,2117,1599,2117.21,1.35755,802,2160.16,1.69347,1346,0,5.86646,1346,7323,0.627497,0,0,0,0.306262,2135.5
530.9,66.49,1,0.75,405.719,2176,1263,2176.2,1.28316,1968,2197.58,0.116657,993,0,4.88681,993,7462,0.837225,0,0,0,0.28992,2185.25
530.9,16.74,2,0.5,20.099,2117,390,2117.08,9.86727,2072,2119.33,0.0228424,283,3,0.149538,283,1400,0.755967,1,0,0.022706,1.5423,2132.5
