L D C PC time OPT node_count obj_bound root_time root_bestobj root_bestbound root_gap Siter Scuts time_subtour Sroot_iter Srootfrac_cuts time_sub_root LP_time LP_obj
176.97 16.74 1 0.5 109.792 1228.5 1074 1228.5 54.8374 1130.5 1254.88 0.110022 884 1237 0.174175 19 0 0.386989 18.4477 1304.5
176.97 16.74 1 0.75 185.739 1450.75 3658 1450.76 85.2114 1258 1489.28 0.183846 2633 2353 0.427942 10 14 0.19193 16.6902 1547.25
176.97 33.47 1 0.5 241.023 1295.5 2132 1295.5 130.175 1101 1323.25 0.201862 1442 5155 0.329157 10 11 0.07569 29.1573 1397
176.97 33.47 1 0.75 249.523 1554.75 768 1554.75 195.707 1348.25 1573.12 0.166787 645 2026 0.292014 15 20 0.17799 29.0481 1654
176.97 66.49 1 0.5 400.98 1303.5 3898 1303.5 2.80285 195.5 1369.83 6.00678 3301 13867 0.432269 0 0 0 5.77869 1432
176.97 66.49 1 0.75 109.385 1566.75 1345 1566.75 11.4855 124.5 1611.55 11.9442 1097 3835 0.207598 8 16 0.069313 5.77352 1692
176.97 16.74 2 0.5 113.415 1392.5 628 1392.5 59.4457 1331 1414.55 0.0627733 516 709 0.16551 12 3 0.235568 135.258 1420.5
176.97 16.74 2 0.75 203.414 1715.5 1379 1715.5 127.764 1687 1751.02 0.0379485 1006 902 0.215868 20 1 0.457762 160.704 1758
176.97 33.47 2 0.5 198.655 1496.5 884 1496.5 157.823 1477 1509.5 0.0220055 630 2499 0.254274 22 0 0.279962 40.3616 1553
176.97 33.47 2 0.75 306.169 1856 610 1856 205.055 1567.25 1866.39 0.190868 545 2176 0.452007 5 0 0.088867 74.3978 1890
176.97 66.49 2 0.5 728.573 1508.5 2955 1508.5 16.4283 1172 1533.31 0.308285 2622 8743 0.595765 2 0 0.016916 12.5477 1590.5
176.97 66.49 2 0.75 543.524 1865.5 2136 1865.5 20.9135 1497.5 1883.2 0.257564 1885 9571 0.318004 8 0 0.082519 18.398 1912.25
176.97 16.74 3 0.5 51.1435 1429.5 285 1429.5 36.6895 1331.5 1437.64 0.0797114 208 406 0.067614 1 0 0.020557 45.5745 1433
176.97 16.74 3 0.75 93.861 1796.25 334 1796.25 77.8612 1768.75 1801.63 0.0185886 244 672 0.097533 11 0 0.245422 117.228 1798.25
176.97 33.47 3 0.5 183.44 1515 639 1515 175.981 1511.5 1522.86 0.00751451 447 1346 0.219505 28 22 0.343698 26.0816 1557.5
176.97 33.47 3 0.75 164.891 1875 520 1875 152.374 1858.25 1877.27 0.0102338 488 1602 0.257149 44 9 0.512545 89.3235 1894.25
176.97 66.49 3 0.5 329.474 1527.5 2037 1527.5 9.6362 1199 1538.57 0.28321 1855 7200 0.293614 4 9 0.027334 4.15639 1591
176.97 66.49 3 0.75 37.1531 1881.25 1209 1881.25 2.35355 713.75 1892.14 1.65099 754 1949 0.101816 0 0 0 3.74852 1913
176.97 16.74 8 0.5 19.1078 1432.5 74 1432.5 18.2469 1416 1436.18 0.0142518 72 313 0.044799 9 2 0.187895 36.1497 1434
176.97 16.74 8 0.75 24.7937 1800.75 92 1800.75 23.1562 1792 1801.69 0.00540927 90 431 0.040101 13 0 0.274567 49.8985 1800.75
176.97 33.47 8 0.5 173.468 1515 447 1515 167.54 1506.5 1521.97 0.0102699 343 1326 0.246378 29 15 0.326285 16.179 1557.5
176.97 33.47 8 0.75 199.994 1875 255 1875.13 195.313 1864 1877.33 0.00715395 250 950 0.186752 44 2 0.556618 79.3301 1894.25
176.97 66.49 8 0.5 107.671 1527.5 1479 1527.5 9.46652 500 1540.99 2.08197 1350 4321 0.203326 6 34 0.028891 5.01739 1591
176.97 66.49 8 0.75 169.849 1881.25 1840 1881.25 7.70854 566.75 1887.85 2.331 1624 7240 0.227159 3 22 0.020639 2.91154 1913
353.93 16.74 1 0.5 25.4439 1885 1 1885 25.2598 1885 1885.24 0.000127047 42 169 0.020207 21 56 0.228154 18.362 1899
353.93 16.74 1 0.75 18.3542 2060 52 2060.04 14.9622 1128 2061.12 0.827236 54 281 0.042438 0 0 0 23.9323 2064.25
