L D C PC time OPT node_count obj_bound root_time root_bestobj root_bestbound root_gap Siter Scuts time_subtour Sroot_iter Srootfrac_cuts time_sub_root LP_time LP_obj
388.22 16.46 10 0.5 307.475 2675 1659 2675.24 196.764 2669.5 2681.12 0.00435267 1214 7422 1.12235 2 0 0.050212 102.226 2743.5
388.22 16.46 10 0.75 699.113 2930.5 1373 2930.58 634.173 2892.5 2933.84 0.0142908 1027 5398 0.885185 14 6 0.485608 56.7745 2963.25
388.22 32.91 10 0.5 552.763 2682 1231 2682.22 388.157 2433 2694.04 0.107291 952 4024 0.918406 0 0 0 112.271 2769
388.22 32.91 10 0.75 613.148 2934 1649 2934.12 535.685 2926 2935.95 0.00340029 1237 7831 0.853952 24 0 0.685264 112.318 2977.5
388.22 65.82 10 0.5 286.409 2682 2055 2682.09 2.96872 1491.5 2733.82 0.83293 1454 13445 0.656795 0 0 0 13.2333 2771.5
388.22 65.82 10 0.75 557.348 2934 1615 2934.24 7.45367 2767 2943.15 0.0636628 1307 14428 0.943403 0 0 0 10.7824 2978.75
582.33 16.46 1 0.5 579.306 3030.5 3651 3030.55 64.811 2983.5 3037 0.0179305 2542 25675 3.62121 1 0 0.045031 97.853 3063.5
582.33 16.46 1 0.75 2393.21 3108.25 4179 3108.48 50.3752 1695.25 3111.84 0.835626 3399 16438 4.37048 2 228 0.080542 54.8947 3124.75
582.33 32.91 1 0.5 1375.63 3030.5 3818 3030.75 203.047 2956 3036.2 0.0271296 2749 15264 5.34282 3 112 0.141529 205.418 3065
582.33 32.91 1 0.75 1049.23 3108.25 3723 3108.51 334.055 3039.75 3111.17 0.0234944 2750 18223 3.4318 3 0 0.161091 355.884 3125.5
582.33 65.82 1 0.5 1146.33 3030.5 3111 3030.5 4.0193 2224 3043.55 0.368501 2522 17871 1.2852 0 0 0 14.377 3065
582.33 65.82 1 0.75 1079.15 3108.25 3592 3108.36 3.64091 1341.5 3114.8 1.32188 2463 20696 2.29537 0 0 0 15.9193 3125.5
