L D C PC time OPT node_count obj_bound root_time root_bestobj root_bestbound root_gap Siter Scuts time_subtour Sroot_iter Srootfrac_cuts time_sub_root LP_time LP_obj
3265.45 359.31 3 0.75 242.479 6827.75 834 6827.75 159.945 6567.5 6851.21 0.0431984 688 3493 0.523749 9 2 0.151232 19.2851 6931.25
3265.45 718.62 3 0.5 1258.72 6154.5 2548 6154.5 2.05399 3161 6277.9 0.986048 2292 17895 0.720762 0 0 0 6.47368 6348.5
3265.45 718.62 3 0.75 878.43 6827.75 2460 6827.75 2.08595 3016.75 6885.98 1.28258 2169 15902 0.440584 0 0 0 4.48417 6924.75
3265.45 179.66 8 0.5 213.126 6124 536 6124.35 29.0665 2833.5 6190.18 1.18464 501 6873 0.343651 3 0 0.044058 15.9335 6283
3265.45 179.66 8 0.75 814.574 6812.5 656 6812.5 47.74 6122 6841.34 0.117501 676 9003 0.935589 6 0 0.102541 19.2991 6892
3265.45 359.31 8 0.5 454.295 6154.5 1717 6154.5 161.177 5266.5 6209.22 0.179003 1512 7600 0.704037 13 7 0.207231 38.4519 6361.5
3265.45 359.31 8 0.75 287.223 6827.75 1139 6828.2 103.902 5562 6857.05 0.232838 964 4623 0.446632 3 0 0.045327 28.6122 6931.25
3265.45 718.62 8 0.5 2034.18 6154.5 4481 6154.5 1.87796 5363 6277.91 0.170596 3904 27028 0.967166 0 0 0 6.30666 6348.5
3265.45 718.62 8 0.75 1533.11 6827.75 3313 6827.75 1.46427 5094.75 6894.1 0.353177 2797 25647 0.625079 0 0 0 4.71491 6924.75
4898.18 179.66 1 0.5 140.136 7052.5 6296 7052.5 40.9288 6877 7088.32 0.0307292 4289 2897 1.18005 4 8 0.096434 7.67892 7197
4898.18 179.66 1 0.75 111.931 7276.75 10960 7277.24 22.3728 2233.75 7298.11 2.2672 7415 3844 1.26572 2 16 0.038048 9.70646 7349
4898.18 359.31 1 0.5 156.438 7052.5 8223 7053.17 59.0922 6828.5 7094.19 0.0389085 5393 3188 1.02583 0 0 0 35.6068 7187.27
4898.18 359.31 1 0.75 187.457 7276.75 9221 7277.4 91.784 7171.75 7292.88 0.0168897 5831 3004 1.13681 1 0 0.018969 47.9382 7344.25
4898.18 718.62 1 0.5 182.975 7052.5 12240 7053.19 1.29053 986.5 7151.58 6.24945 8702 8382 1.77215 0 0 0 3.62933 7185
4898.18 718.62 1 0.75 149.686 7276.75 16190 7277.32 1.26076 1517.5 7326.29 3.82787 11737 8216 1.74927 0 0 0 3.88316 7343
4898.18 179.66 2 0.5 126.959 7052.5 7882 7052.96 33.052 3946.5 7092.4 0.797137 5366 3779 1.1094 2 0 0.045789 7.26245 7197
4898.18 179.66 2 0.75 116.652 7276.75 12687 7277.37 31.4887 6265 7298.74 0.165002 8401 3156 1.50902 3 0 0.064416 12.1434 7349
4898.18 359.31 2 0.5 187.068 7052.5 7626 7052.5 85.4138 6918.5 7086.54 0.0242878 4909 2493 0.986324 5 29 0.096251 27.0199 7187.5
4898.18 359.31 2 0.75 221.805 7276.75 5613 7277.44 124.764 7178 7293.28 0.0160599 3769 2458 0.832417 1 5 0.023989 47.0274 7343.76
4898.18 718.62 2 0.5 141.582 7052.5 6387 7052.5 1.17333 1434.5 7151.58 3.98542 4361 6710 0.822382 0 0 0 4.68362 7185
4898.18 718.62 2 0.75 330.753 7276.75 18103 7277.4 1.32738 1899.75 7326.29 2.85645 12330 9657 2.26409 0 0 0 5.19118 7343
4898.18 179.66 3 0.5 129.759 7052.5 7381 7052.5 27.6478 7045 7104.77 0.00848435 5045 4397 1.14081 1 0 0.020516 8.84642 7197
4898.18 179.66 3 0.75 109.427 7276.75 11031 7277.25 15.1057 5399.25 7311.98 0.354258 7594 5427 1.38782 0 0 0 12.863 7349
4898.18 359.31 3 0.5 155.379 7052.5 6452 7052.5 53.6344 6828.5 7094.19 0.0389085 4085 3083 0.831962 0 0 0 34.2124 7187.5
4898.18 359.31 3 0.75 205.004 7276.75 6707 7277.26 114.005 7175 7293.28 0.0164847 4285 2132 0.875361 0 0 0 48.76 7344.25
4898.18 718.62 3 0.5 163.236 7052.5 12700 7052.76 1.30444 1849 7151.58 2.86781 8593 6317 1.37896 0 0 0 5.35484 7185
4898.18 718.62 3 0.75 199.544 7276.75 9553 7277.4 1.24159 2884 7326.29 1.54032 6752 9664 1.14373 0 0 0 6.10455 7343
4898.18 179.66 8 0.5 128.156 7052.5 15394 7053.17 15.6007 4783.5 7122.95 0.489067 10540 7042 1.77395 0 0 0 8.19738 7197
4898.18 179.66 8 0.75 102.769 7276.75 5413 7276.95 25.2695 7223 7299.07 0.0105318 3830 4206 0.875356 1 0 0.019162 7.19083 7349
4898.18 359.31 8 0.5 157.609 7052.5 7425 7052.5 59.9342 6946 7093.24 0.0211976 4803 3647 1.06682 0 0 0 36.6725 7187.5
4898.18 359.31 8 0.75 205.645 7276.75 4833 7277.04 117.953 7177 7293.28 0.0162015 2995 2257 0.610174 0 0 0 52.8708 7344.25
4898.18 718.62 8 0.5 226.447 7052.5 24345 7053.02 1.21392 4088 7151.58 0.749408 15142 5326 2.48943 0 0 0 5.36742 7185
4898.18 718.62 8 0.75 290.094 7276.75 17528 7277.42 1.24499 5265.25 7326.29 0.391442 11794 7837 1.83397 0 0 0 5.72759 7343
