L D C PC time OPT node_count obj_bound root_time root_bestobj root_bestbound root_gap Siter Scuts time_subtour Sroot_iter Srootfrac_cuts time_sub_root LP_time LP_obj
2555.42 248.23 1 0.5 553.302 5568.5 469 5568.5 295.175 5294.5 5669.2 0.0707723 423 4532 1.23767 1 0 0.017964 86.2505 5913.5
2555.42 248.23 1 0.75 269.283 6545.5 923 6546.1 214.444 6400.25 6672.09 0.0424737 733 3343 0.56296 6 0 0.18643 111.317 6915.75
L D C PC time OPT node_count obj_bound root_time root_bestobj root_bestbound root_gap Siter Scuts time_subtour Sroot_iter Srootfrac_cuts time_sub_root LP_time LP_obj
2555.42 496.46 1 0.5 911.847 6006.5 848 6006.5 551.604 5827.5 6141.86 0.0539447 827 6220 1.31084 3 34 0.049537 11.8641 6669
2555.42 496.46 1 0.75 1175.12 7152 1359 7152 536.298 6561.25 7282.11 0.109866 1278 10178 1.7469 0 0 0 47.8834 7796.25
2555.42 992.92 1 0.5 1682.56 6006.5 2182 6006.5 10.6251 2603.5 6285.38 1.41421 2043 16976 0.991683 0 0 0 4.09755 6810.5
2555.42 992.92 1 0.75 462.705 7152 1062 7152 13.2713 2890.5 7472.72 1.58527 847 8056 0.423021 0 0 0 4.30303 7954
2555.42 248.23 2 0.5 857.182 5852 1739 5852 298.688 5599.5 5960.24 0.0644238 1340 4543 1.07658 2 0 0.04976 102.044 6038
2555.42 248.23 2 0.75 1781.33 7109.25 3316 7109.25 274.177 6814.75 7251.37 0.0640699 2719 8164 1.53161 3 0 0.098809 108.477 7328.25
2555.42 496.46 2 0.5 1799.75 6478.5 1222 6478.5 616.004 5363.5 6551.7 0.221534 1246 9875 1.82678 2 0 0.02369 15.4968 6758
2555.42 496.46 2 0.75 1365.42 7843.25 1380 7843.25 618.016 7486.5 7876.59 0.0521053 1340 10277 1.73605 5 17 0.067978 21.561 7981.75
2555.42 992.92 2 0.5 >3600 (0.0304628) 1318 6530.56 3.59046 495 6897.24 12.9338 1319 20713 0.848074 0 0 0 5.59597 6892.5
2555.42 992.92 2 0.75 2338.06 7843.25 2453 7843.25 3.85497 688.5 8052.62 10.6959 2123 21772 1.07709 0 0 0 5.58972 8050.25
2555.42 248.23 4 0.5 419.137 5935 597 5935 264.048 5881.5 5987.37 0.0180002 484 6200 1.03738 3 0 0.072102 28.1601 6066
2555.42 248.23 4 0.75 1175.27 7281 1435 7281 287.461 6982.75 7364.6 0.0546842 1112 3762 0.505394 8 14 0.288374 402.785 7373.5
2555.42 496.46 4 0.5 1565.21 6478.5 1458 6478.5 637.763 6354 6551.99 0.0311591 1416 12544 1.49085 9 39 0.138957 14.3232 6758
2555.42 496.46 4 0.75 918.13 7843.25 1870 7843.25 592.124 7274.5 7881.37 0.083424 1472 10637 1.28058 3 0 0.03019 21.8252 7981.75
2555.42 992.92 4 0.5 3064.79 6478.5 2817 6478.5 2.0225 666 6897.24 9.35621 2457 31668 1.07346 0 0 0 3.78984 6892.5
2555.42 992.92 4 0.75 3172.5 7843.25 4477 7843.25 1.68259 952 8052.62 7.45863 3994 38029 0.806662 0 0 0 3.13763 8050.25
2555.42 248.23 10 0.5 248.819 5971 327 5971 201.09 5939.5 5999.28 0.0100649 260 3309 0.694605 8 0 0.137418 58.8219 6066
2555.42 248.23 10 0.75 347.988 7315.75 358 7316.41 321.158 7231.75 7362.63 0.0180984 320 2159 0.44251 13 4 0.452526 216.564 7386
2555.42 496.46 10 0.5 1106.96 6478.5 1912 6478.5 385.863 4828 6574.28 0.361699 1782 16336 1.20226 0 0 0 12.7486 6758
2555.42 496.46 10 0.75 898.153 7843.25 2313 7843.25 511.557 7352.25 7880.17 0.0718032 1954 10766 0.907675 1 0 0.010468 20.5147 7981.75
2555.42 992.92 10 0.5 1137.06 6478.5 2060 6478.5 1.73604 1890.5 6897.24 2.64837 1319 21586 0.408004 0 0 0 3.9522 6892.5
2555.42 992.92 10 0.75 1655.79 7843.25 2650 7843.25 1.93985 6362.5 8052.62 0.265637 2109 26408 0.543611 0 0 0 3.00164 8050.25
5110.84 248.23 1 0.5 682.883 7758.5 2248 7759.15 106.43 6885 7836.74 0.138234 1624 28274 1.83251 1 0 0.038829 143.057 7988
5110.84 248.23 1 0.75 762.29 8449.5 3510 8449.5 198.872 8383.5 8488.81 0.0125613 2723 21272 1.62553 14 0 0.512694 89.9207 8589.5
5110.84 496.46 1 0.5 1271.27 7981 1000 7981.03 378.947 7007.5 8034.81 0.146601 886 15952 2.94343 2 0 0.059534 314.216 8162.5
5110.84 496.46 1 0.75 580.883 8594.5 2008 8594.78 259.691 8241.25 8623.94 0.0464356 1510 20495 1.01343 0 0 0 367.773 8682.25
5110.84 992.92 1 0.5 2865.43 7981 3114 7981 5.46911 1215.5 8065.94 5.6359 2663 39730 1.82827 0 0 0 5.24516 8209
5110.84 992.92 1 0.75 1273.72 8594.5 2879 8595.15 5.70487 1466.5 8636.5 4.88919 2249 33758 0.972922 0 0 0 6.09511 8708.5
5110.84 248.23 2 0.5 1982.02 7760.5 4945 7761.27 127.139 6987.5 7820.45 0.119206 3503 58407 3.02032 5 1 0.191426 102.747 7988
5110.84 248.23 2 0.75 485.874 8463.75 423 8463.75 72.7184 4848.75 8502.75 0.753596 366 4520 0.852161 0 0 0 99.5826 8589.5
5110.84 496.46 2 0.5 1857.74 7981 2132 7981 213.775 6158 8039.45 0.305529 1833 34347 2.77995 1 5 0.029017 291.251 8162.5
5110.84 496.46 2 0.75 1459.23 8594.5 1515 8594.5 454.424 7750.75 8620.24 0.112181 1159 20103 1.51791 0 0 0 450.191 8682.25
5110.84 992.92 2 0.5 1119.49 7981 2849 7981 8.71366 3287.5 8060.44 1.45185 2361 35318 0.874241 0 0 0 5.39873 8209
5110.84 992.92 2 0.75 1053.75 8594.5 2811 8594.7 7.83564 4675.5 8634.83 0.846825 2219 40318 1.55331 0 0 0 6.11143 8708.5
