L D C PC time OPT node_count obj_bound root_time root_bestobj root_bestbound root_gap Siter Scuts time_subtour Sroot_iter Srootfrac_cuts time_sub_root LP_time LP_obj
4441.07 992.92 10 0.75 >3600 (0.000232781) 1703 8593.75 115.902 4278 8618.75 1.01467 1708 34550 0.253515 0 0 0 251.668 8680.5
6661.61 248.23 1 0.5 1300.53 8821 1573 8821.5 162.562 8819 8842.5 0.0026647 1614 20952 0.314909 2 95 0.093631 87.4336 8992.5
6661.61 248.23 1 0.75 1793.63 9014.5 1541 9015.25 138.522 1521 9029.5 4.93655 1543 25530 0.284322 0 0 0 77.1488 9099.75
6661.61 496.46 1 0.5 1374.96 8823.5 2137 8823.5 117.888 39.5 8844.5 222.911 1847 36864 0.343248 0 0 0 82.6883 9014
6661.61 496.46 1 0.75 892.077 9015.75 2191 9016.5 159.161 1492 9026.75 5.0501 1896 17979 0.366913 1 73 0.037557 82.1183 9111
6661.61 992.92 1 0.5 1317.29 8823.5 2150 8823.5 94.0641 39.5 8857.5 223.241 1970 37866 0.365519 0 0 0 71.3641 9014
6661.61 992.92 1 0.75 1186.27 9015.75 1404 9016.5 121.024 3959.5 9031.25 1.28091 1343 22525 0.25907 0 0 0 74.7234 9110.75
6661.61 248.23 2 0.5 2334.22 8821 2181 8821 141.842 8833.5 8848.5 0.00169808 1997 46715 0.36975 2 115 0.071871 74.7493 8992.5
6661.61 248.23 2 0.75 2432.73 9014.5 2944 9015.25 93.1348 2470 9030.75 2.65617 2895 72848 0.539252 0 0 0 56.6623 9100.25
6661.61 496.46 2 0.5 1714.74 8823.5 1501 8823.5 152.444 8255.5 8850.5 0.0720732 1369 26254 0.251506 2 130 0.070611 69.365 9014
6661.61 496.46 2 0.75 1672.25 9015.75 1453 9016.5 115.523 134.25 9032.25 66.2793 1360 26567 0.25374 0 0 0 72.1434 9111
6661.61 992.92 2 0.5 1206.76 8823.5 1488 8824 119.236 8827 8857.5 0.00345531 1489 25722 0.281004 1 49 0.04197 56.1267 9014
6661.61 992.92 2 0.75 822.263 9015.75 952 9016.5 128.563 9023.25 9032 0.000969717 1017 15297 0.198896 2 207 0.07392 89.9248 9111
6661.61 248.23 4 0.5 732.316 8821 1176 8821.5 117.771 1578 8842 4.6033 1187 16578 0.219039 0 0 0 62.0043 8992.5
6661.61 248.23 4 0.75 2428.19 9014.5 2644 9015.25 96.4175 8933 9034.25 0.0113344 2449 51911 0.467051 0 0 0 77.3045 9100.25
6661.61 496.46 4 0.5 2491.85 8823.5 1591 8823.5 136.01 1588 8849 4.57242 1575 33303 0.308575 1 110 0.038482 87.9102 9014
6661.61 496.46 4 0.75 2731.48 9015.75 1858 9016.5 111.523 3911 9029 1.30862 1945 44621 0.353779 0 0 0 63.8821 9111
6661.61 992.92 4 0.5 1105.89 8823.5 1792 8824 93.8958 263.5 8847.5 32.5769 1795 22773 0.350492 0 0 0 58.5708 9014
6661.61 992.92 4 0.75 1004.17 9015.75 2452 9016.5 115.954 214.5 9027.5 41.0862 2279 25565 0.434742 0 0 0 58.9337 9111
6661.61 248.23 10 0.5 1640.93 8821 1864 8821 148.466 8833 8847.5 0.00164157 1846 34439 0.33526 2 172 0.078129 58.9187 8992.5
6661.61 248.23 10 0.75 2076.85 9014.5 2129 9014.5 128.336 4548 9022.5 0.983839 2056 42451 0.377519 0 0 0 63.3313 9100.25
6661.61 496.46 10 0.5 1549.75 8823.5 1937 8823.5 95.5426 4279 8853 1.06894 1776 38644 0.327983 0 0 0 81.6061 9014
6661.61 496.46 10 0.75 1715.08 9015.75 2474 9016.5 100.132 390.75 9028.5 22.1056 2374 55081 0.460266 0 0 0 60.1897 9111
6661.61 992.92 10 0.75 1118.42 9015.75 2068 9016.5 102.364 9018 9027.75 0.00108117 1988 25705 0.386441 1 33 0.044234 66.214 9111
