L,D,C,PC,time,OPT,node_count,obj_bound,root_time,root_bestobj,root_bestbound,root_gap,Siter,Scuts,time_subtour,Sroot_iter,Srootfrac_cuts,time_sub_root,LP_time,LP_obj
12966.3,3402.34,4,0.5,>3600,(6.56131),104,8325,1241.87,1101,8333,6.56857,146,6896,0.027042,3,42,0.115327,1157.97,8372.5
12966.3,3402.34,4,0.75,>3600,(1.1484),263,9167.75,1232.68,4267.25,9175,1.1501,335,8868,0.058844,0,0,0,1221.99,9199.25
12966.3,850.59,10,0.75,3173.86,9130,1549,9130,2815.23,9102.25,9156.75,0.00598753,1293,6868,0.228013,16,774,0.700406,677.645,9184.5
12966.3,1701.17,10,0.5,>3600,(0.0153931),178,8311.5,1989.66,3126,8317,1.66059,295,8408,0.048019,4,177,0.143186,900.268,8371.5
12966.3,1701.17,10,0.75,>3600,(0.0100358),1,9158.5,3581.26,9110.75,9158.5,0.00524106,194,6340,0.02692,27,937,1.18975,1303.05,9198.75
12966.3,3402.34,10,0.5,>3600,(0.00915639),730,8266,1232.6,3158.5,8346,1.64239,733,13927,0.121693,0,0,0,930.444,8372.5
12966.3,3402.34,10,0.75,3535.85,9130,1569,9130,1877.54,9116.5,9168.5,0.00570394,1291,10688,0.204769,0,0,0,1133.83,9199.25
19449.5,850.59,1,0.5,>3600,(0.0147436),493,9498,1153.46,2803,9513.5,2.39404,584,16972,0.108095,0,0,0,531.787,9543.5
19449.5,850.59,1,0.75,>3600,(12.1926),476,9759.25,1394.59,9730,9762.25,0.00331449,581,13832,0.110111,1,73,0.042529,597.368,9784.5
19449.5,1701.17,1,0.5,>3600,(0.00636605),309,9485,1395.19,9454,9494,0.00423101,455,16258,0.082222,3,160,0.132176,952.045,9545
19449.5,3402.34,1,0.75,>3600,(5.28739),337,9762.75,998.371,9715,9765.5,0.00519815,446,17643,0.082888,0,0,0,622.841,9785.5
19449.5,850.59,2,0.5,>3600,(11.7922),442,9511,1194.65,743.5,9514.5,11.7969,529,18374,0.105051,0,0,0,591.677,9543.5
19449.5,1701.17,2,0.75,2815.18,9745.25,1829,9745.25,1137.8,9748.5,9762,0.00138483,1547,21639,0.290392,5,203,0.2179,853.963,9785.5
19449.5,850.59,4,0.5,>3600,(12.1761),380,9500,1255.76,721,9503,12.1803,475,16674,0.091346,0,0,0,1075.01,9543.5
19449.5,1701.17,4,0.5,3371.62,9464.5,1461,9465,1257.09,9474,9495,0.00221659,1393,31212,0.270868,4,304,0.186502,829.495,9545
19449.5,1701.17,4,0.75,>3600,(0.0108273),113,9756,3046.3,9695,9757.5,0.00644662,285,11724,0.051862,14,977,0.648073,820.618,9785.5
19449.5,850.59,10,0.5,>3600,(6.35642),387,9504.5,1374.22,9426.5,9510.5,0.00891105,497,17803,0.105189,0,0,0,694.395,9543.5
19449.5,1701.17,10,0.75,>3600,(1.54307),344,9756.5,1490.37,9744.75,9759,0.00146233,507,15227,0.097363,4,178,0.187042,729.174,9785.5
