L D C PC time OPT node_cnt obj_bnd root_time root_obj root_bnd root_gap
2220.53 248.23 1 0.5 441.702 5761 822 5761.38 382.831 5749 5870.78 0.0211835
2220.53 248.23 1 0.75 685.718 6727.25 2821 6727.25 508.463 6717.5 6873.41 0.023209
2220.53 496.46 1 0.5 665.255 6124 150 6124.43 446.166 4721 6186.46 0.310413
2220.53 496.46 1 0.75 714.338 7251.25 124 7251.25 494.032 2659.5 7347.29 1.76266
2220.53 992.92 1 0.5 714.445 6124 166 6124 325.464 2405.5 6205.85 1.57986
2220.53 992.92 1 0.75 906.151 7251.25 233 7251.25 309.395 4497.25 7403.18 0.646156
2220.53 248.23 2 0.5 841.464 6123.5 1573 6123.5 534.125 6095 6212.3 0.0192445
2220.53 248.23 2 0.75 >3600 (0.00540192) 2609 7404.53 1218.58 7358.75 7497.61 0.0188703
2220.53 496.46 2 0.5 >3600 (0.019696) 176 6602.02 426.378 239 6636.94 26.7696
2220.53 496.46 2 0.75 1564.89 7892.75 333 7893.48 460.094 552.75 7936.74 13.3586
2220.53 992.92 2 0.5 1356.2 6577.5 453 6577.98 272.107 239 6678.88 26.9451
2220.53 992.92 2 0.75 1552.9 7892.75 573 7893.4 361.119 3059.25 7929.71 1.59205
2220.53 248.23 4 0.5 527.433 6201.5 853 6201.5 468.957 6185.5 6242.69 0.0092456
2220.53 248.23 4 0.75 >3600 (0.0134004) 1273 7621.28 521.314 7393.25 7664.07 0.0366309
2220.53 496.46 4 0.5 1172.8 6577.5 531 6577.5 451.003 429 6637.81 14.4727
2220.53 496.46 4 0.75 2501.58 7892.75 879 7892.75 441.165 972 7935.36 7.16395
2220.53 992.92 4 0.5 1375.5 6577.5 697 6577.5 260.659 429 6688.56 14.591
2220.53 992.92 4 0.75 1026.92 7892.75 598 7892.75 310.319 622.5 7928.39 11.7364
2220.53 248.23 10 0.5 380.799 6224 101 6224.29 345.225 6209 6234.79 0.0041544
2220.53 248.23 10 0.75 >3600 (0.00262965) 2870 7568.35 575.834 7446.25 7660.49 0.0287713
2220.53 496.46 10 0.5 1109.63 6577.5 340 6577.5 501.897 972 6625.65 5.81651
2220.53 496.46 10 0.75 1189.6 7892.75 552 7892.75 536.433 2156.25 7936.61 2.68075
2220.53 992.92 10 0.5 1787.35 6577.5 547 6577.5 308.919 973 6667.83 5.85286
2220.53 992.92 10 0.75 1095.24 7892.75 653 7893.11 329.536 1438.5 7928.92 4.51193
4441.07 248.23 1 0.5 457.017 7825 740 7825 364.314 7798.5 7844.46 0.00589374
4441.07 248.23 1 0.75 377.259 8512.5 405 8512.5 335.261 8509.75 8517.04 0.000856116
4441.07 496.46 1 0.5 1059.53 7975.5 547 7976.19 317.769 5706.5 8012.81 0.404156
4441.07 496.46 1 0.75 655.491 8591.75 448 8592.33 303.073 7651.75 8610.64 0.125316
4441.07 992.92 1 0.5 897.423 7975.5 622 7975.64 259.349 5705 8004.18 0.403012
4441.07 992.92 1 0.75 610.756 8591.75 533 8592.43 234.095 6984 8605.77 0.232212
4441.07 248.23 2 0.5 433.282 7835.5 575 7835.5 372.715 7813 7852.36 0.00503754
4441.07 248.23 2 0.75 521.543 8520 116 8520.64 485.979 8520 8523.58 0.000419726
4441.07 496.46 2 0.5 550.247 7975.5 388 7975.5 314.175 7327.5 8007.6 0.0928147
4441.07 496.46 2 0.75 526.981 8591.75 230 8592.6 293.358 6071.25 8608.26 0.417872
4441.07 992.92 2 0.5 717.992 7975.5 702 7975.5 252.784 1300.5 8010.52 5.15957
4441.07 992.92 2 0.75 715.736 8591.75 411 8592.52 262.983 7868 8605.66 0.0937549
4441.07 248.23 4 0.5 652.117 7835.5 803 7835.5 578.711 7801 7850.44 0.00633741
4441.07 248.23 4 0.75 405.632 8520 101 8520.85 368.99 8520 8522.59 0.000303647
4441.07 496.46 4 0.5 537.672 7975.5 363 7975.97 375.905 7288.5 7996.86 0.0971886
4441.07 496.46 4 0.75 699.588 8591.75 473 8592.24 300.795 6961.5 8609.72 0.236763
4441.07 992.92 4 0.5 795.566 7975.5 523 7975.5 232.707 6528 8003.92 0.226091
4441.07 992.92 4 0.75 433.087 8591.75 206 8592.31 263.836 1423.25 8604.18 5.04545
4441.07 248.23 10 0.5 420.955 7835.5 336 7835.5 376.95 7832 7844.21 0.00155899
4441.07 248.23 10 0.75 720.995 8520 789 8520 371.416 1948.5 8547.2 3.38656
4441.07 496.46 10 0.5 872.688 7975.5 309 7975.96 312.902 6395 8012.16 0.252879
4441.07 496.46 10 0.75 787.035 8591.75 279 8592.48 299.024 7479.75 8607.21 0.150735
4441.07 992.92 10 0.5 642.515 7975.5 604 7976.23 262.143 6639 7992.35 0.203849
4441.07 992.92 10 0.75 522.051 8591.25 709 8592.1 276.342 1804 8602.21 3.76841
6661.61 248.23 1 0.5 323.904 8820.5 296 8821.22 280.23 8817.5 8825.27 0.000881224
6661.61 248.23 1 0.75 507.813 9014.5 361 9014.91 290.772 6884.25 9020.77 0.310349
6661.61 496.46 1 0.5 525.674 8823.5 375 8824.34 263.954 8700.5 8836.46 0.0156262
6661.61 496.46 1 0.75 409.59 9015.75 284 9016.58 278.488 9006.75 9023.06 0.00181033
6661.61 992.92 1 0.5 513.513 8823.5 446 8824.07 187.908 356 8840.97 23.8342
6661.61 992.92 1 0.75 646.229 9015.75 699 9016.34 211.512 1182.25 9024.05 6.63294
6661.61 248.23 2 0.5 330.113 8821 236 8821.42 283.945 8819 8825.84 0.000775327
6661.61 248.23 2 0.75 355.185 9014.5 620 9014.5 280.18 9009 9018 0.000999018
6661.61 496.46 2 0.5 448.117 8823.5 288 8824.37 289.014 7763.5 8833.31 0.137799
6661.61 496.46 2 0.75 425.97 9015.75 459 9016.42 346.302 9001 9017.94 0.00188248
6661.61 992.92 2 0.5 550.052 8823.5 958 8824.13 182.355 81.5 8843.08 107.504
6661.61 992.92 2 0.75 759.432 9015.75 794 9016.53 227.764 9011.75 9023.75 0.0013314
6661.61 248.23 4 0.5 536.016 8821 250 8821.66 258.852 8809 8831.45 0.00254805
6661.61 248.23 4 0.75 475.357 9014.25 498 9015.11 305.361 8956.75 9021.14 0.00718924
6661.61 496.46 4 0.5 345.03 8823.5 259 8823.9 300.647 8819.5 8827.5 0.000906958
6661.61 496.46 4 0.75 492.42 9015.75 299 9016.63 317.342 9008 9023.45 0.00171472
6661.61 992.92 4 0.5 630.914 8823.5 598 8823.5 210.791 8809 8840.47 0.00357276
6661.61 992.92 4 0.75 1348.26 9015.75 1342 9016.56 217.064 6721 9024.17 0.342683
6661.61 248.23 10 0.5 325.145 8820.82 246 8821.22 278.284 8820 8825.6 0.000635264
6661.61 248.23 10 0.75 445.53 9014.5 340 9015.12 307.806 7007.5 9020.49 0.287262
6661.61 496.46 10 0.5 516.716 8823.5 282 8823.83 280.482 7608.5 8842.24 0.162153
6661.61 496.46 10 0.75 639.491 9015.75 724 9016.58 314.008 9018.75 9024.02 0.000584345
6661.61 992.92 10 0.5 359.489 8823.5 343 8823.96 200.698 295.5 8840.61 28.9175
6661.61 992.92 10 0.75 665.642 9015.75 824 9016.45 218.692 7975.5 9024.5 0.131528
