L,D,C,PC,time,OPT,node_count,obj_bound,root_time,root_bestobj,root_bestbound,root_gap,Biter,Bcuts,time_slave,Siter,Scuts,time_subtour,Sroot_iter,Srootfrac_cuts,time_sub_root,LP_time,LP_obj
2940.48,718.62,2,0.75,197.795,6859.75,1,6860.43,184.563,6859.75,6860.44,0.000101278,32,0,0.289034,32,634,0.122002,12,459,0.107474,186.821,6862
2940.48,179.66,3,0.5,436.669,6210.5,1,6210.89,421.769,6210.5,6211.4,0.000145135,25,0,0.026716,25,425,0.037272,10,388,0.081793,441.387,6210.5
2940.48,179.66,3,0.75,514.053,6855.5,1,6856.04,500.865,6855.5,6856.22,0.000105196,21,0,0.0288675,21,428,0.031905,7,264,0.066518,518.506,6855.75
2940.48,359.31,3,0.5,309.001,6218.5,1,6218.87,294.579,6218.5,6219.63,0.000181851,24,0,0.0998077,24,334,0.021336,7,384,0.059697,300.393,6222
2940.48,359.31,3,0.75,329.037,6859.25,1,6859.81,315.546,6859.25,6860.04,0.000115731,44,1,0.136711,44,544,0.023649,26,1216,0.224333,323.977,6861.5
2940.48,718.62,3,0.5,305.137,6218.5,7,6219.05,291.973,6218.5,6219.57,0.000171419,45,0,0.31132,45,809,0.168515,11,592,0.080992,155.377,6223
2940.48,718.62,3,0.75,349.212,6859.75,1,6860.38,334.602,6859.75,6860.46,0.000103365,35,0,0.266485,35,763,0.151815,9,541,0.068184,197.799,6862
2940.48,179.66,8,0.5,440.677,6210.5,1,6211.07,426.379,6210.5,6211.46,0.000154047,43,0,0.0336032,43,442,0.059361,22,905,0.178129,439.954,6210.5
2940.48,179.66,8,0.75,485.574,6855.75,1,6856.29,471.351,6855.75,6856.29,7.85723E-05,38,0,0.0304368,38,438,0.06833,16,517,0.135262,486.215,6855.75
2940.48,359.31,8,0.5,335.035,6218.5,1,6218.96,321.846,6218.5,6219.38,0.000142121,33,0,0.0779867,33,345,0.021239,15,836,0.135225,331.072,6222
2940.48,359.31,8,0.75,340.851,6859.75,1,6859.99,326.167,6859.75,6859.99,3.48606E-05,32,0,0.0916271,32,569,0.032156,13,561,0.107887,331.62,6861.5
2940.48,718.62,8,0.5,194.779,6218.5,1,6218.5,181.788,6218.5,6219.34,0.000134717,42,0,0.162942,42,512,0.089869,25,1385,0.200836,194.212,6223
2940.48,718.62,8,0.75,324.347,6859.75,1,6860.43,309.634,6859.75,6860.65,0.000131883,29,0,0.141062,29,689,0.168713,5,237,0.041716,197.612,6862
4410.72,179.66,1,0.5,438.263,7085,3,7085.23,423.296,7085,7086.85,0.000260469,48,0,0.0349488,48,385,0.11614,26,1348,0.484762,413.241,7111
4410.72,179.66,1,0.75,598.686,7293,9,7293.37,583.78,7293,7294.52,0.000208191,42,0,0.0348289,42,428,0.152682,16,907,0.283621,567.405,7306
4410.72,359.31,1,0.5,344.279,7085,1,7085.45,329.496,7085,7086,0.00014065,54,0,0.160102,54,1005,0.53903,23,910,0.43418,296.559,7111
4410.72,359.31,1,0.75,422.793,7293,280,7293.11,405.309,7291.25,7295.47,0.000578133,280,0,0.620756,280,2158,0.510365,10,361,0.182332,281.736,7306
4410.72,718.62,1,0.5,195.091,7085,1,7085.39,181.971,7085,7087.08,0.000293937,47,0,0.277239,47,890,0.317931,16,610,0.270888,162.496,7111
4410.72,718.62,1,0.75,213.45,7293,1,7293.24,200.383,7293,7293.85,0.000115886,42,0,0.26435,42,947,0.31528,10,339,0.170668,180.41,7306
