L,D,C,PC,time,OPT,node_count,obj_bound,root_time,root_bestobj,root_bestbound,root_gap,Biter,Bcuts,time_slave,Siter,Scuts,time_subtour,Sroot_iter,Srootfrac_cuts,time_sub_root,LP_time,LP_obj
317.64,16.74,3,0.5,139.472,1887,317,1887,70.5759,1887.5,1892.87,0.00284407,359,1,0.289943,359,1952,0.434635,1,31,0.014344,35.7881,1911
317.64,16.74,3,0.75,99.0036,2061,82,2061,85.3231,2061,2061.62,0.000301941,179,0,0.118469,179,1479,0.374341,34,1102,0.40409,35.4729,2073
317.64,33.47,3,0.5,194.763,1889,1298,1889.17,77.1127,1885,1899.14,0.00750061,1216,1,2.80452,1216,6867,1.0344,3,204,0.041483,34.9393,1919
317.64,33.47,3,0.75,172.783,2062,252,2062.2,92.3595,2062.25,2064.91,0.00129149,335,0,0.841211,335,3238,0.966231,5,165,0.069696,34.6316,2077
317.64,66.49,3,0.5,294.317,1889,838,1889.06,59.5872,1887.5,1900.61,0.00694674,900,15,4.34882,900,7654,1.07169,5,153,0.070151,24.6743,1920
317.64,66.49,3,0.75,204.567,2062,544,2062.11,51.4483,619.25,2067.85,2.33929,603,0,3.28055,603,4761,0.733806,1,64,0.01272,23.7627,2077.5
317.64,16.74,8,0.5,99.8012,1887,700,1887.09,79.829,1885.5,1891.13,0.00298637,577,20,0.311053,577,2899,0.508406,30,995,0.494127,34.977,1911
317.64,16.74,8,0.75,102.331,2061,554,2061,85.375,2060.25,2063.33,0.00149707,465,1,0.246353,465,2450,0.478983,15,477,0.18263,35.4629,2073
317.64,33.47,8,0.5,140.869,1889,356,1889.17,81.2492,1804.5,1895.95,0.0506783,365,0,0.750834,365,3740,0.654309,4,181,0.057141,33.822,1919
317.64,33.47,8,0.75,333.88,2062,918,2062.16,80.6856,2062,2066.91,0.00238073,922,1,1.68887,922,8243,1.06803,5,164,0.068669,35.4098,2077
317.64,66.49,8,0.5,320.172,1889,940,1889,60.7251,1889,1898.6,0.00508134,1006,18,3.73898,1006,8524,0.924745,4,162,0.05582,23.5158,1920
317.64,66.49,8,0.75,252.534,2062,626,2062.11,67.1174,2061.5,2066.72,0.00253421,711,0,2.75682,711,6315,1.02599,4,54,0.059362,25.5819,2077.5
476.5,16.74,1,0.5,338.528,2120.5,1539,2120.5,62.503,2121.5,2125.43,0.00185222,1476,0,0.911044,1476,8921,1.90533,2,117,0.037563,33.4046,2147
476.5,16.74,1,0.75,154.773,2177.75,1052,2177.81,65.6634,2178,2180.48,0.00113779,916,0,0.611683,916,6019,1.72134,5,218,0.09082,34.0485,2191
476.5,33.47,1,0.5,535.644,2120.5,1484,2120.68,66.6939,2117,2125.19,0.00386656,1268,0,2.89938,1268,15010,2.53874,4,298,0.067277,32.3077,2147
476.5,33.47,1,0.75,255.478,2177.75,1448,2177.75,68.4475,5.25,2180.16,414.269,1166,0,2.94559,1166,13488,2.71593,3,140,0.054046,33.0664,2191
476.5,66.49,1,0.5,310.216,2120.5,2157,2120.5,59.5425,2122.5,2124.84,0.00110456,1542,0,6.42094,1542,15428,2.47852,3,97,0.060043,23.8495,2147
476.5,66.49,1,0.75,209.386,2177.75,1519,2177.93,47.5812,2179.25,2181.12,0.000857955,1203,0,6.36414,1203,10842,1.98936,2,112,0.037093,23.7853,2191
